Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Random Forest,0.9024390243902439,0.7906976744186046,0.918918918918919,0.85,0.9660590823381521
XGBoost,0.8699186991869918,0.7333333333333333,0.8918918918918919,0.8048780487804879,0.9635449402891263
SVM (RBF),0.8292682926829268,0.6538461538461539,0.918918918918919,0.7640449438202247,0.9296040226272785
Logistic Regression,0.8373983739837398,0.6808510638297872,0.8648648648648649,0.7619047619047619,0.8686360779384036
