Country Name,Country Code,Year,physicians,gdp,health_expenditure,population_growth,school_enrollment,unemployment,urban_population,log_gdp,shortage
Afghanistan,AFG,2018,0.303,18053222687.4126,2.4323008274520808,1.4507992159542968,-1.8029096120033992,0.7811078351747359,-1.6832411165809713,-0.6041060890444033,1
Angola,AGO,2018,0.211,89512794227.495,-1.6212607236073602,1.8803082820756005,-0.11362812175394851,1.8013122533909567,0.18863105493781995,0.12181640240241345,1
Andorra,AND,2018,4.535,3218418631.67579,0.10741840235536168,0.6336615919559513,-1.5749327110876443,-0.381566904291458,1.2252206372788812,-1.3859678249136616,0
United Arab Emirates,ARE,2018,2.605,440560108917.631,-1.0087215381622732,0.19895716422556647,-0.07969698362235164,-0.9077924919129673,1.0581601502178786,0.8443873325832125,0
Argentina,ARG,2018,5.167,524819892360.176,1.0587592224474434,-0.2024226808498183,1.4305002283022095,0.40923295297096757,1.374511092167694,0.9237364101927802,0
Armenia,ARM,2018,2.893,12457940694.7395,1.001762627181084,-1.130961328472863,0.08966024595970158,2.247109525971945,0.14178483372636752,-0.7723027815470827,0
Australia,AUS,2018,3.726,1433144978761.67,1.030230899740883,0.3305028741363482,1.9184676036427986,-0.32150496210996715,1.166540635598659,1.3792110432028288,0
Austria,AUT,2018,5.241,452582294972.775,1.1754433082858715,-0.4683976419342396,1.2225617679604297,-0.3991989030166368,0.2908234585813149,0.8565941465279863,0
Azerbaijan,AZE,2018,3.236,47112470051.7701,-1.0978722624176291,-0.16809872588132455,-1.046219650926313,-0.4054219613902292,-0.20929404264752713,-0.1691968338447236,0
Burundi,BDI,2018,0.094,2913411408.44783,0.07887920166495264,1.53645361848288,-2.0199530401438404,-1.1131534182415188,-2.0183377211328364,-1.4311109831741045,1
Belgium,BEL,2018,3.355,542638913427.921,1.338164366204827,-0.4936470207395504,0.9535597298858475,-0.20911275633235757,1.1510421747496313,0.9388750347714543,0
Benin,BEN,2018,0.073,14262408089.9261,-1.2340563902427768,1.3738585575262872,-1.7399873420222,-1.0605402883556916,-0.6301085057059663,-0.7109715359964096,1
Burkina Faso,BFA,2018,0.082,15890066221.2882,-0.7208652390597047,1.2816058842188969,-1.9495561175428169,-0.44408035431709153,-1.6335955900819268,-0.6619738056474858,1
Bangladesh,BGD,2018,0.573,321362752441.78,-1.6153562622093962,-0.20401765745829323,-1.4211017316588261,-0.49235620109405137,-1.430519851367239,0.7013497532017853,1
Bulgaria,BGR,2018,4.217,66097226262.2191,0.09484261913795006,-1.9400465070008905,1.113503426109225,-0.3467743506572819,0.5424974719056904,-0.015679901250394687,0
Bahrain,BHR,2018,0.729,39567978723.4043,-1.0615773587618564,-0.749965441525522,-0.19726806276496606,-1.1054217396561465,1.7515048820620425,-0.2483234273443901,0
Bosnia and Herzegovina,BIH,2018,2.457,20484058033.1144,0.5782055251408851,-1.8225974479271703,-0.2157733256751906,2.14037464598851,-0.5853819751976658,-0.5468311262942961,0
Belarus,BLR,2018,4.486,60031026576.26,-0.5225299479236666,-1.0233907289785824,1.1763025315521214,-0.43125708251696165,0.7079615402711508,-0.059326748915678414,0
Belize,BLZ,2018,1.086,2285915050.0,-0.7851863218947513,0.6223741266068952,-1.22103728418753,0.4329937213065024,-0.8513235890581132,-1.5410873821650868,0
Brunei Darussalam,BRN,2018,1.763,13566908391.0895,-1.581392677950783,0.06239030533058043,-1.0878447786638683,0.3111726392052677,0.598232935713932,-0.7336387532000322,0
Bhutan,BTN,2018,0.421,2583335721.85904,-1.3591501616656843,-0.28675164929721486,-1.6061481961691657,-0.6977171274226031,-1.0665038615022002,-1.485629491147169,1
Botswana,BWA,2018,0.402,17031943186.1353,-0.3478870043158031,0.2695193165442027,-0.11362812175394851,2.3789252169762216,0.201669387493917,-0.6305093242412189,1
Central African Republic,CAF,2018,0.069,2220979146.11241,1.3385194731544297,0.5400918499182403,-0.11362812175394851,-0.2309877494031674,-0.9375293335890272,-1.554153631463868,1
Canada,CAN,2018,2.411,1725329192783.02,1.3139385481896209,0.2807990424985522,0.563860736736558,-0.22872481908549752,0.9065683433992333,1.4633382081868918,0
Switzerland,CHE,2018,4.338,725568717468.001,1.407977268619967,-0.2707860323317545,0.3645924185849083,-0.4406859588405866,0.803169260447595,1.070593586372552,0
Chile,CHL,2018,2.569,295857562991.709,0.710742502554461,0.5596509088700873,1.4349992391878295,0.10807464319438621,1.2002136534383319,0.6638568494018902,0
China,CHN,2018,2.122,14147765772963.8,-0.6783007808221304,-0.4837591113117613,-0.07222161349469854,-0.5166827020090039,-0.011636005223977931,2.4173588173058507,0
Cameroon,CMR,2018,0.131,39955552189.795,-1.1717008937396496,1.3395468182086088,-1.621517038920482,-0.6490641255926982,-0.37187781556245875,-0.2439039065793642,1
